Wed Feb 19 17:38:37 2025, Temperature: 22.2°C, Humidity: 40.0%
Wed Feb 19 17:38:42 2025, Temperature: 15.5°C, Humidity: 48.0%
Wed Feb 19 17:38:47 2025, Temperature: 19.8°C, Humidity: 41.5%
Wed Feb 19 17:38:52 2025, Temperature: 19.9°C, Humidity: 49.9%
Wed Feb 19 17:38:57 2025, Temperature: 22.8°C, Humidity: 58.5%
Wed Feb 19 17:39:02 2025, Temperature: 25.0°C, Humidity: 40.0%
Wed Feb 19 17:39:07 2025, Temperature: 23.0°C, Humidity: 42.5%
Wed Feb 19 17:39:12 2025, Temperature: 20.6°C, Humidity: 42.0%
Wed Feb 19 17:39:17 2025, Temperature: 17.3°C, Humidity: 54.2%
Wed Feb 19 17:39:22 2025, Temperature: 19.2°C, Humidity: 54.0%
Wed Feb 19 17:39:27 2025, Temperature: 20.1°C, Humidity: 40.7%
Wed Feb 19 17:39:32 2025, Temperature: 15.6°C, Humidity: 48.2%
Wed Feb 19 17:39:37 2025, Temperature: 23.4°C, Humidity: 50.5%
Wed Feb 19 17:39:42 2025, Temperature: 21.4°C, Humidity: 55.9%
Wed Feb 19 17:39:47 2025, Temperature: 19.2°C, Humidity: 46.8%
Wed Feb 19 17:39:52 2025, Temperature: 20.8°C, Humidity: 54.5%
Wed Feb 19 17:39:57 2025, Temperature: 16.1°C, Humidity: 45.8%
Wed Feb 19 17:40:02 2025, Temperature: 16.7°C, Humidity: 51.6%
Wed Feb 19 17:40:07 2025, Temperature: 18.7°C, Humidity: 49.4%
Wed Feb 19 17:40:12 2025, Temperature: 23.8°C, Humidity: 43.0%
Wed Feb 19 17:40:17 2025, Temperature: 24.6°C, Humidity: 51.8%
Wed Feb 19 17:40:22 2025, Temperature: 16.5°C, Humidity: 50.7%
Wed Feb 19 17:40:27 2025, Temperature: 20.5°C, Humidity: 44.2%
Wed Feb 19 17:40:32 2025, Temperature: 18.0°C, Humidity: 55.3%
Wed Feb 19 17:40:37 2025, Temperature: 15.7°C, Humidity: 45.9%
Wed Feb 19 17:40:42 2025, Temperature: 24.8°C, Humidity: 53.3%
Wed Feb 19 17:40:47 2025, Temperature: 22.0°C, Humidity: 55.6%
Wed Feb 19 17:40:52 2025, Temperature: 16.3°C, Humidity: 50.7%
Wed Feb 19 17:40:57 2025, Temperature: 21.6°C, Humidity: 41.7%
Wed Feb 19 17:41:02 2025, Temperature: 23.3°C, Humidity: 45.4%
Wed Feb 19 17:41:07 2025, Temperature: 15.0°C, Humidity: 50.4%
Wed Feb 19 17:41:12 2025, Temperature: 21.1°C, Humidity: 41.5%
Wed Feb 19 17:41:17 2025, Temperature: 17.1°C, Humidity: 57.4%
Wed Feb 19 17:41:22 2025, Temperature: 24.7°C, Humidity: 54.4%
Wed Feb 19 17:41:27 2025, Temperature: 19.3°C, Humidity: 42.2%
Wed Feb 19 17:41:32 2025, Temperature: 20.5°C, Humidity: 44.7%
Wed Feb 19 17:41:37 2025, Temperature: 25.0°C, Humidity: 55.3%
Wed Feb 19 17:41:42 2025, Temperature: 15.2°C, Humidity: 48.0%
Wed Feb 19 17:41:47 2025, Temperature: 17.6°C, Humidity: 51.6%
Wed Feb 19 17:41:52 2025, Temperature: 18.6°C, Humidity: 48.6%
Wed Feb 19 17:41:57 2025, Temperature: 17.7°C, Humidity: 58.6%
Wed Feb 19 17:42:02 2025, Temperature: 24.8°C, Humidity: 44.3%
Wed Feb 19 17:42:07 2025, Temperature: 16.6°C, Humidity: 49.7%
Wed Feb 19 17:42:12 2025, Temperature: 20.7°C, Humidity: 40.8%
Wed Feb 19 17:42:17 2025, Temperature: 15.4°C, Humidity: 56.7%
Wed Feb 19 17:42:22 2025, Temperature: 17.4°C, Humidity: 60.0%
Wed Feb 19 17:42:27 2025, Temperature: 18.3°C, Humidity: 41.1%
Wed Feb 19 17:42:32 2025, Temperature: 24.2°C, Humidity: 53.6%
Wed Feb 19 17:42:37 2025, Temperature: 19.4°C, Humidity: 57.2%
Wed Feb 19 17:42:42 2025, Temperature: 20.0°C, Humidity: 50.5%
Wed Feb 19 17:42:47 2025, Temperature: 17.7°C, Humidity: 56.8%
Wed Feb 19 17:42:52 2025, Temperature: 19.5°C, Humidity: 49.6%
Wed Feb 19 17:42:57 2025, Temperature: 23.0°C, Humidity: 59.1%
Wed Feb 19 17:43:02 2025, Temperature: 23.4°C, Humidity: 50.1%
Wed Feb 19 17:43:07 2025, Temperature: 22.3°C, Humidity: 48.4%
Wed Feb 19 17:43:12 2025, Temperature: 17.8°C, Humidity: 50.3%
Wed Feb 19 17:43:17 2025, Temperature: 24.7°C, Humidity: 58.2%
Wed Feb 19 17:43:22 2025, Temperature: 21.9°C, Humidity: 42.7%
Wed Feb 19 17:43:27 2025, Temperature: 18.2°C, Humidity: 40.6%
Wed Feb 19 17:43:32 2025, Temperature: 18.4°C, Humidity: 46.7%
Wed Feb 19 17:43:37 2025, Temperature: 23.6°C, Humidity: 52.8%
Wed Feb 19 17:43:42 2025, Temperature: 19.4°C, Humidity: 43.7%
Wed Feb 19 17:43:47 2025, Temperature: 22.7°C, Humidity: 43.2%
Wed Feb 19 17:43:53 2025, Temperature: 17.3°C, Humidity: 45.7%
Wed Feb 19 17:43:58 2025, Temperature: 21.4°C, Humidity: 46.8%
Wed Feb 19 17:44:03 2025, Temperature: 21.1°C, Humidity: 56.0%
Wed Feb 19 17:44:08 2025, Temperature: 19.5°C, Humidity: 46.5%
Wed Feb 19 17:44:13 2025, Temperature: 21.2°C, Humidity: 47.9%
Wed Feb 19 17:44:18 2025, Temperature: 15.8°C, Humidity: 54.7%
Wed Feb 19 17:44:23 2025, Temperature: 22.8°C, Humidity: 42.3%
Wed Feb 19 17:44:28 2025, Temperature: 18.7°C, Humidity: 42.9%
Wed Feb 19 17:44:33 2025, Temperature: 21.0°C, Humidity: 49.1%
Wed Feb 19 17:44:38 2025, Temperature: 23.6°C, Humidity: 43.1%
Wed Feb 19 17:44:43 2025, Temperature: 19.4°C, Humidity: 43.8%
Wed Feb 19 17:44:48 2025, Temperature: 19.8°C, Humidity: 58.5%
Wed Feb 19 17:44:53 2025, Temperature: 15.7°C, Humidity: 43.5%
Wed Feb 19 17:44:58 2025, Temperature: 24.8°C, Humidity: 42.9%
Wed Feb 19 17:45:03 2025, Temperature: 18.9°C, Humidity: 48.9%
Wed Feb 19 17:45:08 2025, Temperature: 15.2°C, Humidity: 40.8%
Wed Feb 19 17:45:13 2025, Temperature: 19.0°C, Humidity: 44.7%
Wed Feb 19 17:45:18 2025, Temperature: 23.3°C, Humidity: 42.0%
Wed Feb 19 17:45:23 2025, Temperature: 21.4°C, Humidity: 48.0%
Wed Feb 19 17:45:28 2025, Temperature: 17.7°C, Humidity: 59.3%
Wed Feb 19 17:45:33 2025, Temperature: 18.7°C, Humidity: 54.6%
Wed Feb 19 17:45:38 2025, Temperature: 16.1°C, Humidity: 55.0%
